X,Y,Arsenic_kit,Arsenic_lab
262246.5,2630768,25,8.679640587
256215.3,2632851,25,8.990053837
263880.9,2633251,25,9.401053193
262316.7,2630699,25,9.788259437
259131.6,2630981,25,10.08979508
256946.8,2632778,25,10.34665679
262341,2633080,25,10.3899698
255787.9,2635812,25,10.42255214
255796.9,2630436,25,10.55658397
263473.9,2632805,25,10.99273791
256261.6,2635230,25,11.04529492
255819.2,2635669,25,11.51150764
256582.1,2634359,25,12.15523731
256506.7,2632907,25,13.46896645
256802.2,2634121,25,13.98371959
263500.2,2632788,25,13.99536169
260078.7,2628010,25,14.10250668
260266.2,2628802,25,14.99195322
255977.4,2630499,25,15.15018624
260694.2,2630057,25,15.53176492
255928.3,2635364,25,15.71867543
256963.9,2632821,25,15.83826939
255644.2,2630770,25,16.63032267
258616.6,2634829,25,16.70849618
256781,2632984,25,16.83741742
257231.9,2630259,25,16.9823371
258987.3,2630918,25,17.83539424
256708.7,2632866,25,18.75800376
263907.5,2633193,25,18.92325101
260932.9,2631317,25,19.45099763
255593.2,2630209,25,19.95722096
260940,2632978,25,20.69493321
258471.7,2634519,25,21.46716474
262513.6,2633127,25,22.41855579
260140,2633349,25,22.66421798
255657.5,2630824,25,23.51751792
260673.7,2633216,25,23.98350801
263932.7,2633305,25,24.36549694
260634.5,2633188,25,24.36810405
256741.8,2632894,25,24.60916318
262363.9,2632763,25,25.6646726
260870.3,2633021,25,26.24202812
262330.1,2632816,25,27.49641825
255660.6,2630734,25,27.80404802
255708.4,2630982,25,28.09647407
260628.5,2633193,25,28.17883444
260633.9,2632414,25,29.23764087
261418,2627088,25,29.95818082
255977.9,2632520,25,29.96863653
261429.4,2632484,25,30.44143924
256861.9,2630212,25,30.57308912
260415.8,2631740,25,30.60119327
260240.2,2632816,25,31.93580377
255742.1,2630984,25,32.74674666
256707.4,2634304,25,33.27841416
260052,2632508,25,36.2009122
255863.5,2630393,25,36.44529759
260236.2,2632751,25,38.02358828
260098.4,2628031,25,40.95464785
256587.5,2633601,25,45.48676599
258631.5,2631462,25,70.80357809
261442.6,2627091,25,79.15562907
255958.6,2631245,25,79.19326963
260066.2,2632346,25,17.39
258055,2632300,25,21.74
257311.6,2632050,25,14.16
257343.5,2631727,25,27.23
257068.4,2631840,25,19.55
256655.4,2631533,25,8.57
255741.7,2630974,25,21.93
255642.7,2630850,25,29.8
255793.7,2630430,25,6.23
258049.6,2633909,25,23.88
258468.1,2632304,25,14.97
258545.3,2632144,25,14.09
258181.1,2630387,25,12.23
257841.7,2630728,25,0.09
257680.8,2630652,25,29.6
256778.5,2629356,25,26.66
256640.4,2629735,25,15.81
258031.5,2629878,25,18.41
258141.7,2629757,25,13.3
257138.6,2633289,25,12.12
254154.8,2630905,25,13.97
258546.1,2634227,25,11.47965227
258789.1,2634436,25,13.15284252
258801.1,2634445,25,10.51064235
258742.2,2634582,25,5.018213316
258877.5,2634744,25,2.031052105
259095,2634848,25,10.57176272
254017,2630702,25,17.15443333
256707.2,2634314,25,29.03671233
260151,2633357,25,21.69268388
260176.5,2633463,25,36.37569718
259945.2,2633656,25,20.24847325
260873.6,2633075,25,21.44300944
261854.3,2633809,25,34.51449729
261883.3,2633812,25,14.08369802
260630,2632422,25,27.72950309
260847.5,2632320,25,26.40045518
259211.8,2631042,25,15.52715276
256568,2632747,50,0.1
256027.5,2632611,50,6.26595101
262268.8,2630886,50,10.67378642
259033.2,2630974,50,11.21310009
256099.2,2632703,50,12.31055469
256839,2632675,50,13.16223928
256521.7,2633027,50,13.75650299
258983.4,2631106,50,13.89513426
262331.6,2630733,50,14.38534577
256379.6,2632929,50,14.5073801
262474.6,2630216,50,15.17032192
262322.4,2630730,50,15.72986335
262260.6,2630632,50,15.97243762
261413.3,2627051,50,16.25115097
255960.1,2635320,50,16.6665674
259020.7,2630996,50,16.66999817
261093.6,2630179,50,18.52013431
263507.5,2632737,50,18.68639613
262309.4,2630684,50,19.30928565
259977,2628150,50,19.73122204
260111.8,2633286,50,21.5140609
258606.1,2631678,50,22.54767062
255625,2630163,50,22.7640286
256478.7,2634848,50,22.89566016
262321.9,2630703,50,22.97299146
256132.5,2632775,50,23.35516605
263863.6,2633192,50,23.72446113
259219.7,2631007,50,24.51453548
258794.5,2631004,50,24.72505148
259343.3,2630774,50,24.74607564
256386.3,2632826,50,25.44480436
258420.3,2634430,50,25.83571343
260520.7,2632412,50,26.95362122
255910,2635416,50,26.96830019
256185.5,2632836,50,27.39049123
256835.5,2632827,50,28.05654297
260267.6,2632055,50,28.65792601
260575.5,2633196,50,29.33703614
263496.1,2632790,50,29.42466101
259946.9,2628117,50,29.67120832
260774.8,2632239,50,31.04640626
257072.6,2630251,50,31.73639466
260448.1,2631779,50,32.46164681
256163,2631314,50,32.74693786
260902.7,2633065,50,32.92648074
260168.3,2632750,50,33.87184089
263519.8,2632678,50,34.09179565
256449.1,2634926,50,34.46127289
260700.4,2631255,50,34.65937342
260084.3,2632525,50,34.71196351
256600.8,2634849,50,34.75186102
257070.2,2633141,50,34.88649751
256890.3,2632876,50,34.90002333
259767.6,2631145,50,35.45892606
255702.3,2630573,50,35.77896633
257048.7,2633015,50,35.88011429
258606.6,2630442,50,35.92660959
255815.9,2635738,50,37.33329737
256847.2,2632736,50,37.47350345
256228.5,2635120,50,38.22435908
261208.6,2632575,50,38.33298925
260867.4,2630129,50,39.10655942
259979.1,2632794,50,39.2525284
260598.8,2633188,50,39.75576512
260172.7,2628894,50,40.62230737
260583.8,2633142,50,40.99779869
255881.7,2631186,50,41.69124992
255616,2630170,50,41.77387673
257200.3,2630263,50,42.4235739
256657,2634038,50,42.42975943
255780.2,2630536,50,43.13416593
259696.3,2631150,50,44.41726424
260599.1,2633207,50,44.47583637
256846.5,2634982,50,47.10131789
256687.2,2634859,50,48.43926548
256051.9,2630502,50,48.85904399
261639.9,2626995,50,48.9066182
260594.7,2633187,50,49.34551452
255730.1,2630222,50,50.53764284
260197.1,2628511,50,51.34631783
255830.4,2631073,50,52.43834368
259814.4,2630901,50,54.7070569
259814.4,2630936,50,55.44347113
257032.8,2630246,50,60.61585983
255657.3,2630925,50,61.20748639
255054.4,2630369,50,63.15886449
261514,2626967,50,63.56333468
257117.8,2630268,50,67.15508371
256725.6,2634117,50,67.56172091
257269.8,2630270,50,68.67557513
260227.3,2632761,50,72.31186678
255654.9,2630301,50,74.88311907
257445.7,2630119,50,75.21232161
257159.7,2630211,50,79.67090225
259501.2,2631129,50,88.12483266
256489.7,2629971,50,97.61837895
260357.5,2632868,50,102.6665744
257306.2,2630189,50,112.9934972
255916.7,2632683,50,19.37
258145.6,2632228,50,26.98
258263.8,2632387,50,19.46
258040,2632317,50,40.08
257872.1,2632034,50,30.21
257174.2,2630245,50,24.97
256422.3,2630008,50,33.75
257399.8,2631742,50,26.96
256659.8,2631598,50,0.61
255681.6,2630630,50,65.03
255695.9,2630574,50,44.02
257843.3,2634069,50,17.71
258458.5,2633667,50,38.2
258517.6,2633742,50,41.78
258098.3,2631130,50,12.37
256768.5,2629369,50,6.48
258951.5,2633884,50,31.86
258077.3,2629875,50,29.91
257093.5,2629489,50,16.01
255292.8,2630356,50,43.99
255308.8,2630298,50,53.83
255361.9,2630327,50,87.1
255604.3,2630186,50,21.26
258900.3,2633058,50,22.56
258991.5,2634752,50,11.84026262
258855.6,2634857,50,22.45111279
254138.2,2630833,50,95.99516628
259422,2634994,50,110.4370086
258249.6,2630212,50,10.64892967
259872.8,2632981,50,18.36559575
260706.7,2633362,50,48.30611931
260521.5,2633672,50,10.23320419
261509.7,2632902,50,53.42207156
261818.9,2633721,50,31.81514061
260665.6,2632212,50,33.53459761
260940.8,2632411,50,28.07094878
259235.8,2631054,50,43.55369204
263860.5,2633191,100,21.09265722
259149.9,2630947,100,23.02993816
262410.2,2633087,100,24.67837723
256684.7,2634505,100,27.13445956
263488.7,2632775,100,27.69152895
263511.2,2632715,100,28.89715431
262326,2630701,100,29.94745454
259939.8,2628123,100,33.33854685
262251.5,2630764,100,33.8098767
258954.5,2631080,100,35.97487221
262562.8,2633216,100,36.08593236
255921.8,2632502,100,36.23332859
256364.9,2632527,100,38.18199316
262536.8,2633199,100,38.39663856
262766.1,2633370,100,39.72731184
260919.6,2632981,100,39.75529294
262623.4,2633327,100,40.02652765
255276.2,2630337,100,41.26999895
263517.7,2632679,100,41.52148
257546.8,2630735,100,42.68659554
260686.1,2632143,100,42.90853976
262496.4,2630708,100,43.821851
262261.2,2630610,100,44.02282501
257632.5,2630551,100,46.36984024
263494.4,2632685,100,47.73641035
262613.3,2633238,100,48.52493021
262535,2633111,100,48.68374121
263521,2632688,100,49.08985984
262299.1,2630804,100,49.762341
260065.2,2628058,100,49.92451739
260062.1,2632606,100,50.16538871
260630.8,2632409,100,50.42555507
260043.8,2631997,100,50.4401871
262220.1,2631022,100,51.46601482
256702,2629619,100,51.51171462
260103.7,2628042,100,52.16190759
260274.1,2628600,100,53.28930195
256895.1,2632858,100,53.3430274
256540,2634265,100,53.35781873
261261.5,2629786,100,53.63869995
262561.3,2633240,100,54.47003214
260652.8,2633183,100,55.22631905
256366.2,2632920,100,55.56789845
