Well_ID,Wp_ID.x,lat,lon,As_Result,Depth.2000,X2000,Y2000,Depth_2000,Installation_2000,As_GFAA_2000,As_MS_2000,As2014,As2015,As2015
1106,3165E,23.7778348,90.61805589,25,45,257343.5,2631727,45,1997,23,32.96,27.227,23.9,23.9
1109,3167E,23.77782374,90.61835445,100,30,257361.5,2631586,30,1960,51,66.4,56.128,44.9,44.9
1110,3170E,23.77800873,90.61845772,50,45,257399.8,2631742,45,1996,28,38.04,26.956,29.5,29.5
1115,3181E,23.77783405,90.61902576,100,45,257434.4,2631673,45,2000,153,159.23,93.654,NA,
1118,3130E,23.7784528,90.61910103,300,60,257387.6,2631718,60,1997,384,396.36,86.074,NA,
1130,1330E,23.77683249,90.6151617,0,30,256928.6,2631614,30,1995,5,2.26,2.043,2,2
1133,1328E,23.77683207,90.61479575,0,30,256859.2,2631524,30,1997,5,1.97,1.082,3.3,3.3
1143,3124E,23.77873552,90.61928677,100,45,257378.2,2631765,45,1989,24,31.77,42.488,30,30
1161,3111E,23.77910156,90.61577719,25,45,257068.4,2631840,45,1999,21,30.56,19.551,17.5,17.5
1165,1383E,23.77633268,90.6154347,0,45,257038.6,2631482,45,1997,5,1.33,0.146,NA,
1168,1384E,23.77623495,90.61514905,0,45,257030.7,2631518,45,1992,5,1.11,0.491,0.6,0.6
1231,1255E,23.77669821,90.6117952,25,45,256655.4,2631533,45,1990,15,14.69,8.574,8.3,8.3
1245,1264E,23.77589087,90.61223852,0,35,256748.3,2631502,35,1999,5,0.6,8.774,0.1,0.1
1343,1054E,23.77267012,90.60428325,10,45,255847.7,2631109,45,1997,5,3.9,7.898,NA,
1378,1014E,23.77145659,90.60320182,25,60,255741.7,2630974,60,1992,27,41.33,21.928,NA,
1390,984E,23.77011616,90.60235323,25,45,255642.7,2630850,45,1995,27,35.94,29.801,29.4,29.4
1406,1288E,23.77742107,90.61204464,0,30,256645,2631626,30,2000,5,0.76,0.257,3.8,3.8
1410,1296E,23.7776799,90.61230406,100,45,256662.5,2631655,45,1993,82,78.91,83.432,79.4,79.4
1418,726E,23.76874,90.60286,0,60,255696.3,2630698,60,1999,8,13.9,3.232,5.2,5.2
1429,705E,23.76761,90.6031,50,40,255695.9,2630574,40,1996,26,27.13,44.019,30.4,30.4
1434,697E,23.76652,90.60383,25,45,255793.7,2630430,45,1996,11,27.04,6.23,5.3,5.3
1450,1521K,23.80480634,90.63740208,100,45,259288.5,2634629,45,1994,95,76.42,62.397,59.9,59.9
1465,1500K,23.80430242,90.63639021,0,45,259175.1,2634553,45,1994,5,2.44,4.446,5.1,5.1
1493,315H,23.79942,90.6218,100,60,257690.2,2634059,60,1994,44,45.02,39.868,38.3,38.3
1504,306H,23.79968,90.62332,50,65,257843.3,2634069,65,1992,17,21.24,17.712,17.3,17.3
1513,290H,23.79827,90.62539,25,45,258049.6,2633909,45,1999,14,26.04,23.88,23.2,23.2
1542,228H,23.79613,90.62939,50,45,258458.5,2633667,45,1996,27,39.95,38.201,34.5,34.5
1546,192H,23.79678,90.62991,50,30,258517.6,2633742,30,1998,48,64.13,41.776,31.1,31.1
1583,1302K,23.78204696,90.63678416,500,45,259190.2,2632097,45,2000,237,240.27,251.56,239.1,239.1
1587,1407L,23.7798333,90.62999382,200,45,258489.8,2631877,45,1990,140,125.47,122.324,92.2,92.2
1606,2894L,23.78923369,90.63328858,300,45,258897.4,2632879,45,1988,286,250.05,148.844,NA,
1646,2694L,23.78904107,90.6370409,300,75,259154.6,2632913,75,1997,212,157.44,216.577,238.6,238.6
1651,2680L,23.78894979,90.637576,100,60,259260.9,2632867,60,1994,29,37.55,33.518,NA,
1699,1499L,23.78384924,90.6299628,300,52,258418.8,2632307,52,2000,160,173.9,184.938,179.2,179.2
1716,1461L,23.78330919,90.62943332,25,95,258468.1,2632304,95,1985,15,12.43,14.967,40.1,40.1
1731,1437L,23.78273218,90.63068382,0,55,258530.4,2632168,55,1998,5,0.68,0.369,5.4,5.4
1741,1421L,23.78198275,90.63055683,25,45,258545.3,2632144,45,1990,11,11.37,14.086,11.3,11.3
1762,1413L,23.78054006,90.63117499,100,37,258604.5,2631925,37,1995,43,40.05,98.689,93.5,93.5
1764,1371L,23.78188997,90.63102387,200,45,258612.5,2632099,45,2000,128,129.4,143.584,99.9,99.9
1766,1367L,23.78191955,90.6314526,200,45,258665,2632089,45,1993,201,210.62,209.246,NA,
