Well_ID,Wp_ID.x,lat,lon,As_Result,Depth.2000,X2000,Y2000,Depth_2000,Installation_2000,As_GFAA_2000,As_MS_2000,As2014,As2015,As2015
7161,1924K,23.79737,90.64452,100,35,259993.3,2633790,35,1994,41,52.12,47.359,54.3,54.3
7164,1933K,23.79829,90.64398,200,25,259951.2,2633912,25,1984,66,77.68,62.215,65.6,65.6
7166,1926K,23.79764,90.64381,500,30,259932.6,2633816,30,1971,163,199.25,196.231,197.6,197.6
7175,1273F,23.79547753,90.64601406,300,35,260147.8,2633580,35,1999,180,218.35,128.758,NA,
7178,1281F,23.79568901,90.64619394,300,30,260163.5,2633604,30,1999,142,166.17,147.639,142.9,142.9
7179,1282F,23.79588431,90.64632109,200,30,260184.4,2633635,30,1991,101,120.59,87.765,89.9,89.9
7180,1285F,23.7962019,90.64625354,200,36,260178.1,2633657,36,1995,102,130.25,100.86,99.8,99.8
7198,1531F,23.79966153,90.64295199,200,43,259844.6,2634045,43,1995,199,191.89,81.86,58.2,58.2
7205,396F,23.79257,90.65273,0,45,260812,2633255,45,1988,5,0.19,0.177,0.1,0.1
7227,589F,23.79122,90.65338,25,45,260873.6,2633075,45,1995,18,33.84,21.443,18.2,18.2
7260,649F,23.79044,90.6541,200,45,260959.8,2633050,45,1994,109,146.05,130.109,129.1,129.1
7296,485F,23.79242,90.65025,100,45,260573.8,2633235,45,1999,79,100.15,61.066,81.6,81.6
7309,324F,23.79384,90.65165,300,45,260731.1,2633401,45,1993,218,232.36,36.311,NA,
7325,464F,23.79212,90.65233,100,60,260785.8,2633213,60,1996,61,85.91,79.798,75,75
7341,350F,23.79449,90.65293,100,45,260826.7,2633419,45,2000,51,53.39,39.25,45.3,45.3
7345,367F,23.794,90.65197,200,45,260756.7,2633408,45,1991,180,216.76,167.122,NA,
7356,215F,23.79503,90.65163,100,45,260717.9,2633528,45,2000,47,56.54,64.366,58.7,58.7
7369,152F,23.79653,90.64977,50,45,260521.5,2633672,45,1995,20,34.08,10.233,18.5,18.5
7370,155F,23.79596,90.64979,100,45,260543.3,2633651,45,1986,19,29.72,53.375,49.5,49.5
7380,134F,23.79729,90.64905,200,45,260463.6,2633765,45,1993,108,123.02,104.775,100.4,100.4
7419,003K,23.79174,90.65866,100,45,261467.6,2633130,45,1997,70,84.83,75.785,69.1,69.1
7459,067K,23.78983,90.6591,200,60,261493.2,2632935,60,1993,65,79.23,87.102,93.6,93.6
7492,184K,23.78928,90.65866,0,45,261438,2632881,45,1999,9,3.58,1.997,2,2
7493,081K,23.78962,90.65927,50,60,261509.7,2632902,60,1993,62,65.23,53.422,50.8,50.8
7504,1357F,23.79360275,90.65808317,300,45,261384.6,2633351,45,1999,203,199.92,208.448,203.1,203.1
7508,1333F,23.79429904,90.65746031,200,45,261319.6,2633431,45,1998,111,114.83,96.886,106,106
7510,1338F,23.79455393,90.65783892,100,60,261345.5,2633457,60,1998,98,91.62,61.539,43,43
7536,1405F,23.79556026,90.65950985,200,45,261523.8,2633550,45,1998,98,105.62,65.946,61.6,61.6
7704,789F,23.78533,90.65082,100,75,260625.2,2632440,75,1996,57,57.82,63.935,70.2,70.2
7710,803F,23.7851,90.65094,25,50,260630,2632422,50,1998,23,29.89,27.73,25.3,25.3
7717,901F,23.78395468,90.65086174,100,50,260619.2,2632283,50,2000,71,75.74,52.427,58.3,58.3
7722,910F,23.78348311,90.6505185,100,67,260593,2632236,67,1997,73,95.63,56.04,52.1,52.1
7725,900F,23.78325722,90.65128343,50,60,260665.6,2632212,60,1998,35,50.82,33.535,NA,
7729,896F,23.78265825,90.65141603,200,60,260662.7,2632137,60,1996,56,60.19,1.369,NA,
7756,886F,23.78413531,90.65269344,200,60,260806.8,2632323,60,1997,45,60.91,68.557,70.5,70.5
7759,883F,23.78408049,90.65306878,25,75,260847.5,2632320,75,2001,5,12.94,26.4,30.5,30.5
7770,873F,23.78427529,90.65394075,100,50,260939.4,2632324,50,1998,53,63.49,78.977,79.7,79.7
7775,865F,23.78506017,90.65404359,50,60,260940.8,2632411,60,1995,10,20.34,28.071,25.6,25.6
7787,077F,23.79934,90.64912,100,50,260503.2,2633999,50,1998,166,158.1,150.233,143.4,143.4
7792,067F,23.7998,90.65026,0,50,260580.3,2634038,50,1994,5,1.82,4.798,4.5,4.5
7808,564L,23.77251,90.63747,50,75,259235.8,2631054,75,1994,47,61.74,43.554,39.5,39.5
7814,542L,23.77237,90.63706,25,60,259211.8,2631042,60,1996,29,42.22,15.527,7.2,7.2
7817,549L,23.77215,90.63733,10,45,259216.3,2631003,45,1991,7,10.48,5.365,131.2,131.2
7832,517L,23.773,90.63602,200,75,259098.9,2631103,75,1999,295,346.97,139.696,49.2,49.2
7835,528L,23.77253,90.63598,100,50,259098.2,2631060,50,1999,73,91.85,48.524,122.1,122.1
7867,589L,23.7733,90.64051,100,60,259541.5,2631145,60,1999,118,148.36,110.84,202.3,202.3
7868,590L,23.77352,90.64048,100,60,259546.8,2631156,60,2000,115,153.79,45.669,116.5,116.5
7886,635L,23.7729629,90.64374005,100,60,259878.9,2631091,60,2001,85,81.33,82.444,82.2,82.2
7949,2689E,23.76315331,90.62996306,200,45,258467.1,2630007,45,1997,58,71.35,56.579,57.1,57.1
7968,2655E,23.76401564,90.6305549,500,75,258511.3,2630110,75,1999,202,190.22,261.01,236.3,236.3
7973,455L,23.76689,90.63062,25,45,258523.7,2630446,45,1999,28,35.04,31.037,35.1,35.1
7979,1915K,23.79884,90.64524,100,45,260077.6,2633954,45,1999,13,21.92,17.525,20.9,20.9
7996,1298F,23.79752213,90.64689006,200,60,260239.9,2633800,60,1997,105,105.84,69.606,60.3,60.3
