X,Y,Depth_m,Arsenic_lab
258530.3625,2632168.46,14,2.5
258530.3625,2632168.46,17,4.1
258533.4788,2632153.56,18,3.8
258505.3498,2631280.546,9,14.6
258590.9494,2631319.784,14,11.3
258328.5028,2630967.701,14,5
258192.2372,2630746.48,14,7
258157.9396,2630732.316,14,3.1
258187.9698,2630698.572,12,5
258189.7101,2630595.161,18,6.5
257953.9075,2632045.124,17,1.1
258242.3192,2630692.125,14,6.3
258017.2278,2632075.423,14,2.3
257950.0149,2632117.213,17,0.6
258429.0483,2630478.477,14,5.1
258258.4184,2630538.611,11,2.7
258287.7627,2630567.596,18,9.6
258262.4674,2630475.717,11,4.4
258238.7125,2630476.113,18,5.3
258154.6161,2630429.538,14,3
258159.6823,2630427.57,14,3.1
258226.1128,2630332.276,18,7.8
258217.5211,2630428.488,9,3.9
258309.2523,2630223.739,14,3
258234.9763,2630356.173,14,3.5
258180.5039,2630453.04,18,6
258194.959,2630506.429,14,4.1
258185.1633,2630530.527,14,4.2
257942.4163,2631967.752,11,2
257803.4321,2630773.367,11,4.2
257815.8513,2631412.069,11,2.2
257657.7914,2630400.835,14,4.9
257630.4849,2630493.705,14,5.5
257361.2052,2630655.117,14,2.9
257844.5481,2632011.828,15,2
257315.9249,2629675.237,9,4.5
257266.2998,2629556.065,14,6.8
256969.7043,2628995.923,14,4.8
256884.0295,2629263.297,14,3.3
257955.0193,2632111.589,12,2.6
257905.3387,2632092.032,14,1.5
256799.7287,2629502.947,14,3.3
256682.4184,2629708.026,18,2.9
259051.2545,2634257.662,8,4.2
258117.589,2629842.885,14,7.7
258102.3637,2629743.414,14,5.3
258161.5276,2629725.805,9,8.7
258178.4621,2629719.982,11,2
258092.0755,2632484.155,9,4.2
257958.6342,2631516.831,14,15.9
258007.6937,2631401.547,14,6
257982.2997,2631407.512,21,1.2
257952.5228,2631352.607,14,5.8
257941.5213,2631408.194,17,1.7
258047.2627,2631834.803,14,1.1
